"","SRR8366697_1.fastq_quant","SRR8366698_1.fastq_quant","SRR8366699_1.fastq_quant","SRR8366700_1.fastq_quant","SRR8366701_1.fastq_quant","SRR8366704_1.fastq_quant","SRR8366705_1.fastq_quant","SRR8366706_1.fastq_quant","SRR8366707_1.fastq_quant"
"ENSG00000122218.10",1135.681,905.83,986.525,755.053,985.25,129.111,182.597,315.553,131.869
"ENSG00000122223.8",0,0,1,0,0,0,0,0,0
"ENSG00000122224.13",56.25,42.143,37.546,53.58,45.864,31.393,14.112,12.049,5.908
"ENSG00000122254.6",10.516,26,18,22,38.687,7,1,2,2
"ENSG00000122257.14",3.149,6.335,3.125,6.35,2.099,1.003,2.106,4.243,2.056
"ENSG00000122299.7",841.639,536.562,581.735,637.638,524.932,202.912,173.522,288.591,75.262
"ENSG00000122304.6",0,0,0,0,0,3,0,0,0
"ENSG00000122335.9",79.74,58.205,64.958,61.577,33.568,19.718,35.669,43.703,8.412
"ENSG00000122359.13",33.009,21.404,22.84,23.363,44.325,21.794,10.634,22.491,7.325
"ENSG00000122367.15",1,0,0,0,0,1,0,0,0
"ENSG00000122375.7",0,0,2,0,0,0,0,0,0
"ENSG00000122376.7",2868.685,1050.989,2263.51,1626.725,1357.689,684.157,639.388,1533.04,914.448
"ENSG00000122378.9",0,0,0,0,0,25.037,0,0,0
"ENSG00000122386.6",0,0,2.285,8.629,4.444,0,0,2.138,0
"ENSG00000122390.13",25.701,49.158,38.65,41.315,48.711,35.005,15.401,24.371,25.664
"ENSG00000122406.8",662.17,285.557,469.268,420.57,432.424,133.813,110.366,275.551,102.346
"ENSG00000122417.11",851.015,877.611,591.66,832.942,726.511,139.317,158.993,284.758,150.093
"ENSG00000122420.5",0,0,48.03,0,11.66,0,17.894,0,0
"ENSG00000122432.12",8.437,4.159,15.742,12.169,15,3.338,5.787,3,2
"ENSG00000122435.5",109.822,59.016,37.951,45.357,94.806,33.055,12.069,20.87,30.628
"ENSG00000122477.8",182.557,142.918,118.556,105.135,175.573,44.508,54.627,13.748,59.111
"ENSG00000122481.12",779.729,458.072,560.33,687.901,508.643,117.698,155.171,308.643,115.672
"ENSG00000122482.16",815.509,629.839,759.484,681.782,716.739,97.715,259.061,302.825,206.013
"ENSG00000122483.13",440.768,241.47,537.341,473.63,457.36,135.014,73.098,334.651,161.593
"ENSG00000122484.8",1832.631,1343.339,1591.802,1333.292,1141.147,442.525,476.138,798.555,448.206
"ENSG00000122490.14",3.073,1,4.042,5.893,3.028,0,1,1,1.242
"ENSG00000122507.16",15.862,12.771,21.492,24.597,32.219,11.991,7.648,1.637,0
"ENSG00000122512.10",108.766,82.753,72.047,52.85,76.825,26.946,33.298,47.207,21.028
"ENSG00000122515.10",19.174,27.708,22.245,19.868,20.994,4.737,6.669,3.15,0
"ENSG00000122545.13",9992.276,6133.737,7850.536,9046.818,4254.333,1313.573,1580.426,4749.752,1744.265
"ENSG00000122547.6",81.314,62.048,74.807,61.896,38.686,6.512,14.945,22.694,22.077
